German,English,Category
ganz,completo,Adjectives
fertig,"finished, terminado",Adjectives
genug,"enough,suficiente",Adjectives
vielleicht,"maybe, tal vez",Adverben
ergänzen,"to complete, completar",Verben
liegen,to lay,Verben
analyzeren,to analyze,Verben
suchen,to search,Verben
bilden,to form (a sentence),Verben
fütteren,to feed,Verben
malen,to paint,Verben
das Sonderangebot,"la oferta, the offer",Nouns
die Semmel,el pan austriaco,Nouns food
das Müsli,el cereal mu...,Nouns food
die Marille,el melocoton,Nouns food
der Sauerrahm,la crema acida,Nouns food
die Kundin,La cliente,Nouns
der Kunde,El cliente,Nouns
der Verkäufer,el vendedor,Nouns
die Verkäuferin,la vendedora,Nouns
die Sache,"la cosa, the thing",Nouns
das Ding,"la cosa, the thing (Ding)",Nouns
der Markt,el mercado,Nouns
der Projektor,el proyector,Nouns
aufstehen,levantarse -- to get up,Trennbare Verben
die Hauseaufgaben,La tarea -- the homework,Noun
einkaufen,ir de compras--to go shopping,Trennbare Verben
zurückkommen,volver--to come back,Trennbare Verben
ankommen,llegar--to arrive,Trennbare Verben
fernsehen,ver la televisión--to watch television,Trennbare Verben
aufstehen,levantarse--to get up,Trennbare Verben
weggehen,irse--to go away,Trennbare Verben
losfahren,partir--to set off,Trennbare Verben
abfahren,salir--to depart,Trennbare Verben
einladen,invitar--to invite,Trennbare Verben
aufessen,comerse todo--to eat up,Trennbare Verben
anschauen,mirar--to look at,Trennbare Verben
anrufen,llamar--to call,Trennbare Verben
ausgehen,salir--to go out,Trennbare Verben
mitbringen,traer--to bring along,Trennbare Verben
dabeihaben,llevar consigo--to have with one,Trennbare Verben
mitmachen,participar--to participate,Trennbare Verben
fernsehen,ver la televisión--to watch television,Trennbare Verben
aufräumen,ordenar--to tidy up,Trennbare Verben
wegräumen,guardar--to put away,Trennbare Verben
tanzen,bailar -- to dance,Verben
wandern,caminar -- hiking,Verben
möchten,me gustaria -- I would like to (infinitive),Verben
hätten gerne,me gustaria -- I would like to (gerne),Verben
