Antwort,Frage,Lektion,Category,Content,,
voll,full,Adjektive,"{""Adjektive"": [","{""question"": ""voll"", ""answer"": ""full""}, ",,
interessant,interesting,Adjektive,,"{""question"": ""interessant"", ""answer"": ""interesting""}, ",,
kaputt,broken,Adjektive,,"{""question"": ""kaputt"", ""answer"": ""broken""}, ",,
einfach,simple,Adjektive,,"{""question"": ""einfach"", ""answer"": ""simple""}, ",,
aufgeregt,excited,Adjektive,,"{""question"": ""aufgeregt"", ""answer"": ""excited""}, ",,
verheiratet,married,Adjektive,,"{""question"": ""verheiratet"", ""answer"": ""married""}, ",,
dunkel,dark,Adjektive,,"{""question"": ""dunkel"", ""answer"": ""dark""}, ",,
normal,normal,Adjektive,,"{""question"": ""normal"", ""answer"": ""normal""}, ",,
klein,small,Adjektive,,"{""question"": ""klein"", ""answer"": ""small""}, ",,
hilfreich,helpful,Adjektive,,"{""question"": ""hilfreich"", ""answer"": ""helpful""}, ",,
schlecht,bad,Adjektive,,"{""question"": ""schlecht"", ""answer"": ""bad""}, ",,
schwer,heavy,Adjektive,,"{""question"": ""schwer"", ""answer"": ""heavy""}, ",,
fern,far,Adjektive,,"{""question"": ""fern"", ""answer"": ""far""}, ",,
alt,old,Adjektive,,"{""question"": ""alt"", ""answer"": ""old""}, ",,
geschieden,divorced,Adjektive,,"{""question"": ""geschieden"", ""answer"": ""divorced""}, ",,
höflich,polite,Adjektive,,"{""question"": ""höflich"", ""answer"": ""polite""}, ",,
weich,soft,Adjektive,,"{""question"": ""weich"", ""answer"": ""soft""}, ",,
heiß,hot,Adjektive,,"{""question"": ""heiß"", ""answer"": ""hot""}, ",,
warm,warm,Adjektive,,"{""question"": ""warm"", ""answer"": ""warm""}, ",,
laut,loud,Adjektive,,"{""question"": ""laut"", ""answer"": ""loud""}, ",,
schön,nice,Adjektive,,"{""question"": ""schön"", ""answer"": ""nice""}, ",,
nah,close,Adjektive,,"{""question"": ""nah"", ""answer"": ""close""}, ",,
genervt,annoyed,Adjektive,,"{""question"": ""genervt"", ""answer"": ""annoyed""}, ",,
befristet,temporary,Adjektive,,"{""question"": ""befristet"", ""answer"": ""temporary""}, ",,
leicht,light,Adjektive,,"{""question"": ""leicht"", ""answer"": ""light""}, ",,
unpünktlich,unpunctual,Adjektive,,"{""question"": ""unpünktlich"", ""answer"": ""unpunctual""}, ",,
wenig,a few,Adjektive,,"{""question"": ""wenig"", ""answer"": ""a few""}, ",,
jung,young,Adjektive,,"{""question"": ""jung"", ""answer"": ""young""}, ",,
sauber,clean,Adjektive,,"{""question"": ""sauber"", ""answer"": ""clean""}, ",,
leise,quiet,Adjektive,,"{""question"": ""leise"", ""answer"": ""quiet""}, ",,
selbstbewusst,self-confident,Adjektive,,"{""question"": ""selbstbewusst"", ""answer"": ""self-confident""}, ",,
verwirrend,confusing,Adjektive,,"{""question"": ""verwirrend"", ""answer"": ""confusing""}, ",,
trocken,dry,Adjektive,,"{""question"": ""trocken"", ""answer"": ""dry""}, ",,
langsam,slow,Adjektive,,"{""question"": ""langsam"", ""answer"": ""slow""}, ",,
kühl,cool,Adjektive,,"{""question"": ""kühl"", ""answer"": ""cool""}, ",,
selbstsicher,self-assured,Adjektive,,"{""question"": ""selbstsicher"", ""answer"": ""self-assured""}, ",,
viel,a lot,Adjektive,,"{""question"": ""viel"", ""answer"": ""a lot""}, ",,
krank,sick,Adjektive,,"{""question"": ""krank"", ""answer"": ""sick""}, ",,
hässlich,not nice,Adjektive,,"{""question"": ""hässlich"", ""answer"": ""not nice""}, ",,
überrascht,surprised,Adjektive,,"{""question"": ""überrascht"", ""answer"": ""surprised""}, ",,
schnell,fast,Adjektive,,"{""question"": ""schnell"", ""answer"": ""fast""}, ",,
gut,good,Adjektive,,"{""question"": ""gut"", ""answer"": ""good""}, ",,
unbefristet,permanent,Adjektive,,"{""question"": ""unbefristet"", ""answer"": ""permanent""}, ",,
groß,big,Adjektive,,"{""question"": ""groß"", ""answer"": ""big""}, ",,
kurz,short,Adjektive,,"{""question"": ""kurz"", ""answer"": ""short""}, ",,
selbstständig,self-employed,Adjektive,,"{""question"": ""selbstständig"", ""answer"": ""self-employed""}, ",,
pünktlich,punctual,Adjektive,,"{""question"": ""pünktlich"", ""answer"": ""punctual""}, ",,
richtig,right,Adjektive,,"{""question"": ""richtig"", ""answer"": ""right""}, ",,
nervös,nervous,Adjektive,,"{""question"": ""nervös"", ""answer"": ""nervous""}, ",,
glücklich,happy,Adjektive,,"{""question"": ""glücklich"", ""answer"": ""happy""}, ",,
frisch,fresch,Adjektive,,"{""question"": ""frisch"", ""answer"": ""fresch""}, ",,
früh,early,Adjektive,,"{""question"": ""früh"", ""answer"": ""early""}, ",,
dick,thick,Adjektive,,"{""question"": ""dick"", ""answer"": ""thick""}, ",,
unbequem,uncomfortable,Adjektive,,"{""question"": ""unbequem"", ""answer"": ""uncomfortable""}, ",,
lang,long,Adjektive,,"{""question"": ""lang"", ""answer"": ""long""}, ",,
modern,modern,Adjektive,,"{""question"": ""modern"", ""answer"": ""modern""}, ",,
hart,hard,Adjektive,,"{""question"": ""hart"", ""answer"": ""hard""}, ",,
nass,wet,Adjektive,,"{""question"": ""nass"", ""answer"": ""wet""}, ",,
dünn,thin,Adjektive,,"{""question"": ""dünn"", ""answer"": ""thin""}, ",,
ängstlich,anxious/fearful,Adjektive,,"{""question"": ""ängstlich"", ""answer"": ""anxious/fearful""}, ",,
unsicher,insecure,Adjektive,,"{""question"": ""unsicher"", ""answer"": ""insecure""}, ",,
gesund,healthy,Adjektive,,"{""question"": ""gesund"", ""answer"": ""healthy""}, ",,
kalt,cold,Adjektive,,"{""question"": ""kalt"", ""answer"": ""cold""}, ",,
bequem,comfortable,Adjektive,,"{""question"": ""bequem"", ""answer"": ""comfortable""}, ",,
glücklich,happy,Adjektive,,"{""question"": ""glücklich"", ""answer"": ""happy""}, ",,
traurig,sad,Adjektive,,"{""question"": ""traurig"", ""answer"": ""sad""}, ",,
neugierig,curious,Adjektive,,"{""question"": ""neugierig"", ""answer"": ""curious""}, ",,
falsch,wrong,Adjektive,,"{""question"": ""falsch"", ""answer"": ""wrong""}, ",,
mitversichert,co-insured,Adjektive,,"{""question"": ""mitversichert"", ""answer"": ""co-insured""}, ",,
schmutzig,dirty,Adjektive,,"{""question"": ""schmutzig"", ""answer"": ""dirty""}, ",,
neu,new,Adjektive,,"{""question"": ""neu"", ""answer"": ""new""}, ",,
selbstversichert,self-insured,Adjektive,,"{""question"": ""selbstversichert"", ""answer"": ""self-insured""}, ",,
verwitwet,widow,Adjektive,,"{""question"": ""verwitwet"", ""answer"": ""widow""}, ",,
ungesund,unhealthy,Adjektive,,"{""question"": ""ungesund"", ""answer"": ""unhealthy""}, ",,
ledig,single,Adjektive,,"{""question"": ""ledig"", ""answer"": ""single""}, ",,
spät,late,Adjektive,,"{""question"": ""spät"", ""answer"": ""late""}, ",,
hell,bright,Adjektive,,"{""question"": ""hell"", ""answer"": ""bright""}, ",,
erleichtert,relieved,Adjektive,,"{""question"": ""erleichtert"", ""answer"": ""relieved""}, ",,
leer,empty,Adjektive,,"{""question"": ""leer"", ""answer"": ""empty""}, ","],",
das Papier,The paper,Arbeit,"{""Arbeit"": [","{""question"": ""das Papier"", ""answer"": ""The paper""}, ",,
der Lohn,wage (for workers),Arbeit,,"{""question"": ""der Lohn"", ""answer"": ""wage (for workers)""}, ",,
das Vorstellungsgespräch,the job interview,Arbeit,,"{""question"": ""das Vorstellungsgespräch"", ""answer"": ""the job interview""}, ",,
das Unternehmen,the company,Arbeit,,"{""question"": ""das Unternehmen"", ""answer"": ""the company""}, ",,
der Computer,The computer,Arbeit,,"{""question"": ""der Computer"", ""answer"": ""The computer""}, ",,
die Ergebnisse,the results,Arbeit,,"{""question"": ""die Ergebnisse"", ""answer"": ""the results""}, ",,
der Termin,the appointment,Arbeit,,"{""question"": ""der Termin"", ""answer"": ""the appointment""}, ",,
das Ergebnis,the result,Arbeit,,"{""question"": ""das Ergebnis"", ""answer"": ""the result""}, ",,
Computer,computers,Arbeit,,"{""question"": ""Computer"", ""answer"": ""computers""}, ",,
die Belohnung,reward,Arbeit,,"{""question"": ""die Belohnung"", ""answer"": ""reward""}, ",,
der Durchschnitt,average,Arbeit,,"{""question"": ""der Durchschnitt"", ""answer"": ""average""}, ",,
die Pause,the pause,Arbeit,,"{""question"": ""die Pause"", ""answer"": ""the pause""}, ",,
die Angestellten,the employees,Arbeit,,"{""question"": ""die Angestellten"", ""answer"": ""the employees""}, ",,
die Lohnsteuer,salary tax,Arbeit,,"{""question"": ""die Lohnsteuer"", ""answer"": ""salary tax""}, ",,
der Dienstgeber,the employer,Arbeit,,"{""question"": ""der Dienstgeber"", ""answer"": ""the employer""}, ",,
das Büro,the office,Arbeit,,"{""question"": ""das Büro"", ""answer"": ""the office""}, ",,
