German,English,Category
Montag,Lunes,die Wochentage
Dienstag,Martes,die Wochentage
Mittwoch,Miércoles,die Wochentage
Donnerstag,Jueves,die Wochentage
Freitag,Viernes,die Wochentage
Samstag,Sábado,die Wochentage
Sonntag,Domingo,die Wochentage
Jänner,Enero,die Monate
Februar,Febrero,die Monate
März,Marzo,die Monate
April,Abril,die Monate
Mai,Mayo,die Monate
Juni,Junio,die Monate
Juli,Julio,die Monate
August,Agosto,die Monate
September,Septiembre,die Monate
Oktober,Octubre,die Monate
November,Noviembre,die Monate
Dezember,Diciembre,die Monate
der Winter,El invierno,die Jahreszeit
der Frühling,La primavera,die Jahreszeit
der Sommer,El verano,die Jahreszeit
der Herbst,El otoño,die Jahreszeit
heute,hoy,Days mode
morgen,mañana,Days mode
übermorgen,pasado mañana,Days mode
vorgestern,anteayer,Days mode
gestern,ayer,Days mode
gehen,ir,die Verben
verstehen,entender,die Verben
telefonieren,telefonear,die Verben
der Computer,La computadora / El ordenador,DerDasDie
der Stuhl,La silla,DerDasDie
das Handy,El teléfono móvil,DerDasDie
der Laptop,La laptop / El portátil,DerDasDie
der Tisch,La mesa,DerDasDie
das Foto,La foto,DerDasDie
das Bild,La imagen,DerDasDie
der Schlüssel,La llave,DerDasDie
der Schrank,El armario,DerDasDie
das Papier,El papel,DerDasDie
der Stift,El lápiz,DerDasDie
der Kühlschrank,El refrigerador,DerDasDie
das Notizbuch,El cuaderno,DerDasDie
das Sofa,El sofá,DerDasDie
die Handtasche,El bolso,DerDasDie
die Kaffeemaschine,La cafetera,DerDasDie
das Bett,La cama,DerDasDie
die Bank,El banco,DerDasDie
der Geschirrspüler,El lavavajillas,DerDasDie
das Regal,El estante,DerDasDie
die Tafel,La pizarra,DerDasDie
die Waschmaschine,La lavadora,DerDasDie
das Fenster,La ventana,DerDasDie
die Tür,La puerta,DerDasDie
die Kassa,La caja,DerDasDie
die Flasche,La botella,DerDasDie
am Abend,por la tarde,Times of the day
am Vormittag,por la mañana,Times of the day
am Mittag,al mediodía,Times of the day
die Nacht,La noche,DerDasDie
am Nachmittag,por la tarde,Times of the day
am Morgen,por la mañana,Times of the day
in der Nacht,por la noche,Times of the day
in der Früh,de madrugada,Times of the day
der Tag,El día,DerDasDie
leben,vivir,die Verben
sitzen,sentarse,die Verben
kommen,venir,die Verben
denken,pensar,die Verben
wohnen,residir,die Verben
hören,oír / escuchar,die Verben
kochen,cocinar,die Verben
sprechen,hablar,die Verben
trinken,beber,die Verben
lernen,aprender,die Verben
schreiben,escribir,die Verben
spielen,jugar,die Verben
lieben,amar,die Verben
schwimmen,nadar,die Verben
machen,hacer,die Verben
lachen,reír,die Verben
zahlen,contar,die Verben
zählen,pagar,die Verben
rennen,correr,die Verben
üben,practicar,die Verben
sein,ser / estar,die Verben
haben,tener,die Verben
richtig,correcto,Adjectives
wichtig,importante,Adjectives
stark,fuerte,Adjectives
spannend,interesante,Adjectives
falsch,incorrecto,Adjectives
gut,bueno,Adjectives
schlecht,malo,Adjectives
spät,tarde,Adjectives
früh,temprano,Adjectives
schnell,rápido,Adjectives
hart,duro,Adjectives
gleich,igual,Adjectives
weich,blando,Adjectives
langsam,lento,Adjectives
schön,bonito,Adjectives
pünktlich,puntual,Adjectives
unpünktlich,impuntual,Adjectives
müde,cansado,Adjectives
zwischen,entre,Prepositions
zurück,de vuelta,Prepositions
vorwärts,hacia adelante,Prepositions
rückwärts,hacia atrás,Prepositions
am Montag,el lunes,Combinations
im Februar,en febrero,Combinations
am Mittag,al mediodía,Combinations
in der Früh,de madrugada,Combinations
in der Nacht,por la noche,Combinations
viel zu schnell,demasiado rápido,Combinations
die Stunde,La hora,DerDasDie
die Minute,El minuto,DerDasDie
die Sekunde,El segundo,DerDasDie
die Zeit,El tiempo,DerDasDie
die Uhr,El reloj,DerDasDie
verkaufen,vender,die Verben
tanzen,bailar,die Verben
die Person,La persona,DerDasDie
die Telefonnummer,El número de teléfono,DerDasDie
die Adresse,La dirección,DerDasDie
der Name,El nombre,DerDasDie
das Kind,El niño,DerDasDie
das Land,El país,DerDasDie
die Sprache,El idioma,DerDasDie
der Fernseher,La televisión,DerDasDie
das Glas,El vaso,DerDasDie
das Geschirr,Los platos,DerDasDie
der Löffel,La cuchara,DerDasDie
der Kugelschreiber,El bolígrafo,DerDasDie
der Radiergummi,La goma de borrar,DerDasDie
der Spitzer,El sacapuntas,DerDasDie
der Rucksack,La mochila,DerDasDie
die Postleitzahl,El código postal,DerDasDie
die Schere,Las tijeras,DerDasDie
das Buch,El libro,DerDasDie
das Video,El video,DerDasDie
das Bier,La cerveza,DerDasDie
